date,time,persons_count,helmets_count,violations_count,status
2026-04-05,19:27:22,1,1,0,SAFE
2026-04-05,19:27:25,1,1,0,SAFE
2026-04-05,19:27:28,1,1,0,SAFE
2026-04-05,19:27:31,1,1,0,SAFE
2026-04-05,19:27:34,1,1,0,SAFE
2026-04-05,19:27:38,1,1,0,SAFE
2026-04-05,19:28:18,2,0,2,VIOLATION
2026-04-05,19:28:21,2,0,2,VIOLATION
2026-04-05,19:28:24,2,0,2,VIOLATION
2026-04-05,19:28:27,2,1,1,VIOLATION
2026-04-05,19:28:30,2,1,1,VIOLATION
2026-04-05,19:28:34,3,0,3,VIOLATION
2026-04-05,19:28:37,3,0,3,VIOLATION
2026-04-05,19:28:40,2,0,2,VIOLATION
2026-04-05,19:29:47,1,1,0,SAFE
2026-04-05,19:29:50,1,1,0,SAFE
2026-04-05,19:29:53,0,1,0,SAFE
2026-04-05,19:29:56,0,1,0,SAFE
2026-04-05,19:30:28,1,0,1,VIOLATION
2026-04-05,19:30:32,1,0,1,VIOLATION
2026-04-05,19:30:35,1,0,1,VIOLATION
2026-04-05,19:30:38,1,0,1,VIOLATION
2026-04-05,19:30:41,1,0,1,VIOLATION
2026-04-05,19:30:44,1,0,1,VIOLATION
2026-04-05,19:30:47,1,0,1,VIOLATION
2026-04-05,19:30:50,1,0,1,VIOLATION
2026-04-05,19:30:53,1,0,1,VIOLATION
2026-04-05,19:30:56,1,0,1,VIOLATION
2026-04-05,19:30:59,1,0,1,VIOLATION
2026-04-05,19:31:02,1,0,1,VIOLATION
2026-04-05,19:31:05,1,0,1,VIOLATION
2026-04-05,19:31:08,1,0,1,VIOLATION
2026-04-05,19:31:12,1,0,1,VIOLATION
2026-04-05,19:31:15,1,0,1,VIOLATION
2026-04-05,19:31:18,1,0,1,VIOLATION
2026-04-05,19:33:37,1,1,0,SAFE
2026-04-05,19:33:40,1,1,0,SAFE
2026-04-05,19:33:43,2,1,1,VIOLATION
2026-04-05,19:33:46,1,1,0,SAFE
